id,sentiment
0,1
1,2
2,2
3,2
4,1
5,3
6,3
7,2
8,3
9,3
10,0
11,2
12,1
13,3
14,2
15,0
16,3
17,3
18,3
19,1
20,1
21,1
22,3
23,2
24,2
25,2
26,2
27,1
28,1
29,1
30,1
31,1
32,2
33,1
34,1
35,2
36,2
37,3
38,1
39,1
40,3
41,3
42,2
43,2
44,0
45,1
46,4
47,3
48,1
49,1
50,3
51,0
52,1
53,2
54,2
55,2
56,3
57,3
58,1
59,3
60,2
61,3
62,3
63,2
64,3
65,3
66,3
67,3
68,2
69,3
70,3
71,3
72,4
73,2
74,2
75,3
76,3
77,3
78,3
79,3
80,3
81,4
82,1
83,1
84,2
85,3
86,3
87,1
88,3
89,2
90,2
91,1
92,1
93,2
94,2
95,3
96,1
97,3
98,3
99,1
100,1
101,1
102,1
103,2
104,2
105,3
106,2
107,1
108,2
109,1
110,3
111,2
112,2
113,2
114,2
115,2
116,2
117,3
118,2
119,4
120,2
121,2
122,3
123,3
124,2
125,3
126,3
127,1
128,1
129,0
130,0
131,3
132,1
133,1
134,3
135,3
136,4
137,2
138,2
139,1
140,1
141,2
142,1
143,1
144,3
145,2
146,2
147,3
148,3
149,2
150,2
151,1
152,1
153,3
154,3
155,1
156,1
157,1
158,4
159,1
160,4
161,0
162,2
163,2
164,2
165,0
166,0
167,3
168,2
169,2
170,2
171,3
172,1
173,1
174,1
175,1
176,3
177,1
178,4
179,3
180,4
181,1
182,1
183,2
184,4
185,4
186,1
187,2
188,4
189,2
190,3
191,1
192,2
193,2
194,2
195,2
196,2
197,2
198,3
199,3
200,3
201,0
202,2
203,2
204,1
205,2
206,3
207,2
208,0
209,1
210,3
211,4
212,2
213,1
214,1
215,1
216,3
217,1
218,1
219,1
220,2
221,1
222,1
223,1
224,2
225,2
226,2
227,2
228,4
229,2
230,1
231,2
232,3
233,2
234,2
235,1
236,1
237,3
238,2
239,3
240,3
241,2
242,1
243,2
244,2
245,3
246,1
247,3
248,3
249,2
250,1
251,3
252,2
253,1
254,2
255,1
256,1
257,2
258,3
259,3
260,1
261,3
262,3
263,3
264,3
265,2
266,3
267,3
268,3
269,1
270,3
271,3
272,2
273,2
274,4
275,4
276,0
277,3
278,3
279,3
280,3
281,3
282,3
283,1
284,1
285,2
286,2
287,2
288,3
289,1
290,3
291,2
292,1
293,0
294,0
295,2
296,3
297,2
298,2
299,2
300,3
301,1
302,2
303,1
304,2
305,1
306,3
307,0
308,3
309,3
310,2
311,2
312,1
313,3
314,2
315,2
316,1
317,1
318,3
319,3
320,3
321,0
322,0
323,0
324,1
325,1
326,3
327,3
328,3
329,3
330,2
331,2
332,1
333,1
334,1
335,1
336,2
337,1
338,2
339,2
340,3
341,3
342,3
343,3
344,3
345,3
346,2
347,2
348,3
349,1
350,1
351,2
352,1
353,2
354,2
355,2
356,2
357,2
358,2
359,3
360,1
361,2
362,2
363,2
364,2
365,1
366,1
367,1
368,1
369,1
370,0
371,2
372,2
373,1
374,1
375,2
376,3
377,2
378,3
379,3
380,3
381,3
382,1
383,1
384,3
385,3
386,3
387,3
388,4
389,4
390,1
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,1
399,1
400,3
401,2
402,3
403,2
404,2
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,0
414,2
415,2
416,3
417,2
418,2
419,1
420,3
421,2
422,3
423,1
424,2
425,2
426,3
427,2
428,3
429,3
430,1
431,1
432,0
433,3
434,3
435,2
436,1
437,3
438,2
439,1
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,1
448,1
449,3
450,3
451,3
452,3
453,2
454,3
455,2
456,3
457,3
458,3
459,2
460,0
461,3
462,2
463,2
464,3
465,2
466,3
467,3
468,3
469,2
470,3
471,1
472,2
473,2
474,2
475,2
476,3
477,4
478,1
479,1
480,2
481,4
482,3
483,3
484,1
485,2
486,2
487,2
488,2
489,3
490,2
491,2
492,3
493,1
494,1
495,3
496,2
497,3
498,3
499,3
500,3
501,3
502,1
503,1
504,1
505,3
506,3
507,3
508,2
509,3
510,2
511,3
512,3
513,2
514,0
515,3
516,0
517,2
518,1
519,2
520,2
521,3
522,2
523,2
524,2
525,3
526,2
527,2
528,2
529,2
530,3
531,3
532,3
533,2
534,3
535,3
536,1
537,0
538,1
539,2
540,3
541,3
542,2
543,2
544,3
545,2
546,3
547,2
548,1
549,4
550,2
551,2
552,3
553,3
554,3
555,1
556,1
557,3
558,2
559,1
560,1
561,1
562,3
563,2
564,1
565,1
566,1
567,2
568,2
569,2
570,4
571,3
572,3
573,1
574,1
575,3
576,2
577,4
578,3
579,3
580,1
581,2
582,2
583,2
584,3
585,3
586,3
587,2
588,0
589,0
590,2
591,2
592,3
593,3
594,3
595,0
596,3
597,3
598,2
599,2
600,2
601,3
602,1
603,2
604,3
605,3
606,3
607,3
608,3
609,2
610,3
611,2
612,1
613,3
614,0
615,3
616,2
617,1
618,1
619,2
620,3
621,2
622,2
623,2
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,3
632,1
633,3
634,2
635,2
636,3
637,2
638,2
639,1
640,2
641,2
642,1
643,3
644,1
645,2
646,2
647,4
648,3
649,2
650,3
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,1
659,3
660,2
661,2
662,2
663,2
664,2
665,1
666,3
667,2
668,3
669,3
670,1
671,3
672,2
673,2
674,1
675,2
676,2
677,2
678,1
679,1
680,3
681,2
682,2
683,3
684,3
685,3
686,3
687,1
688,1
689,2
690,2
691,3
692,3
693,1
694,3
695,3
696,2
697,2
698,2
699,2
700,3
701,1
702,1
703,3
704,3
705,3
706,1
707,1
708,3
709,0
710,2
711,3
712,2
713,2
714,3
715,3
716,2
717,1
718,1
719,2
720,2
721,2
722,3
723,3
724,3
725,3
726,3
727,2
728,2
729,3
730,3
731,3
732,2
733,3
734,2
735,1
736,0
737,2
738,2
739,2
740,2
741,2
742,2
743,3
744,3
745,3
746,2
747,2
748,2
749,2
750,1
751,1
752,1
753,3
754,3
755,3
756,1
757,1
758,1
759,0
760,3
761,3
762,3
763,2
764,2
765,3
766,2
767,3
768,1
769,1
770,3
771,3
772,2
773,2
774,1
775,2
776,2
777,1
778,1
779,1
780,3
781,1
782,1
783,3
784,0
785,2
786,3
787,3
788,3
789,3
790,3
791,4
792,3
793,2
794,2
795,1
796,0
797,1
798,2
799,1
800,1
801,1
802,1
803,3
804,1
805,1
806,2
807,2
808,2
809,2
810,2
811,3
812,3
813,3
814,2
815,1
816,1
817,3
818,3
819,3
820,3
821,2
822,1
823,1
824,1
825,1
826,1
827,1
828,3
829,3
830,3
831,3
832,1
833,1
834,1
835,2
836,2
837,3
838,1
839,2
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,2
848,4
849,1
850,2
851,3
852,2
853,1
854,1
855,1
856,2
857,3
858,1
859,3
860,3
861,3
862,1
863,1
864,1
865,3
866,3
867,1
868,1
869,3
870,1
871,1
872,1
873,2
874,4
875,2
876,2
877,1
878,0
879,2
880,1
881,1
882,2
883,2
884,3
885,2
886,2
887,1
888,3
889,3
890,2
891,2
892,1
893,1
894,1
895,3
896,1
897,2
898,3
899,1
900,3
901,3
902,2
903,2
904,2
905,2
906,1
907,2
908,4
909,4
910,2
911,2
912,3
913,3
914,2
915,1
916,3
917,3
918,3
919,4
920,1
921,1
922,3
923,3
924,2
925,3
926,2
927,2
928,1
929,1
930,1
931,2
932,2
933,2
934,0
935,0
936,2
937,1
938,1
939,3
940,3
941,3
942,2
943,2
944,1
945,1
946,3
947,2
948,2
949,2
950,3
951,3
952,3
953,3
954,2
955,1
956,4
957,2
958,2
959,1
960,3
961,2
962,2
